#diode1
#Diode Vf-If
#VF= -4.5 to 1.025 in 0.025 step
#NO. VF IF
# V A
1 -4.5 -0.0040629
2 -4.475 -0.0037973
3 -4.45 -0.0035438
4 -4.425 -0.0033157
5 -4.4 -0.0031046
6 -4.375 -0.0029079
7 -4.35 -0.0027197
8 -4.325 -0.0025498
9 -4.3 -0.0023913
10 -4.275 -0.0022438
11 -4.25 -0.0021021
12 -4.225 -0.0019736
13 -4.2 -0.0018532
14 -4.175 -0.0017375
15 -4.15 -0.0016325
16 -4.125 -0.0015337
17 -4.1 -0.0014415
18 -4.075 -0.0013524
19 -4.05 -0.0012711
20 -4.025 -0.0011947
21 -4 -0.001123
22 -3.975 -0.0010537
23 -3.95 -0.00099043
24 -3.925 -0.0009311
25 -3.9 -0.00087523
26 -3.875 -0.00082104
27 -3.85 -0.00077161
28 -3.825 -0.00072506
29 -3.8 -0.00067998
30 -3.775 -0.00063876
31 -3.75 -0.00059995
32 -3.725 -0.00056338
33 -3.7 -0.00052795
34 -3.675 -0.00049553
35 -3.65 -0.00046501
36 -3.625 -0.00043624
37 -3.6 -0.00040839
38 -3.575 -0.0003829
39 -3.55 -0.00035891
40 -3.525 -0.00033565
41 -3.5 -0.00031444
42 -3.475 -0.00029445
43 -3.45 -0.00027556
44 -3.425 -0.00025737
45 -3.4 -0.00024075
46 -3.375 -0.00022508
47 -3.35 -0.00021034
48 -3.325 -0.00019612
49 -3.3 -0.00018313
50 -3.275 -0.00017091
51 -3.25 -0.00015946
52 -3.225 -0.0001484
53 -3.2 -0.0001383
54 -3.175 -0.00012883
55 -3.15 -0.0001197
56 -3.125 -0.0001114
57 -3.1 -0.0001036
58 -3.075 -9.6349E-05
59 -3.05 -8.9326E-05
60 -3.025 -8.296E-05
61 -3 -7.7008E-05
62 -2.975 -7.1427E-05
63 -2.95 -6.6067E-05
64 -2.925 -6.1221E-05
65 -2.9 -5.6683E-05
66 -2.875 -5.2447E-05
67 -2.85 -4.8394E-05
68 -2.825 -4.4733E-05
69 -2.8 -4.1315E-05
70 -2.775 -3.8043E-05
71 -2.75 -3.5093E-05
72 -2.725 -3.2352E-05
73 -2.7 -2.98E-05
74 -2.675 -2.7368E-05
75 -2.65 -2.5179E-05
76 -2.625 -2.3144E-05
77 -2.6 -2.1262E-05
78 -2.575 -1.9471E-05
79 -2.55 -1.7863E-05
80 -2.525 -1.6375E-05
81 -2.5 -1.496E-05
82 -2.475 -1.3691E-05
83 -2.45 -1.2523E-05
84 -2.425 -1.1447E-05
85 -2.4 -1.0426E-05
86 -2.375 -9.5121E-06
87 -2.35 -8.6746E-06
88 -2.325 -7.9015E-06
89 -2.3 -7.1748E-06
90 -2.275 -6.5284E-06
91 -2.25 -5.9316E-06
92 -2.225 -5.3878E-06
93 -2.2 -4.8769E-06
94 -2.175 -4.4194E-06
95 -2.15 -4.0056E-06
96 -2.125 -3.6158E-06
97 -2.1 -3.2681E-06
98 -2.075 -2.9559E-06
99 -2.05 -2.6704E-06
100 -2.025 -2.3991E-06
101 -2 -2.1648E-06
102 -1.975 -1.9517E-06
103 -1.95 -1.7548E-06
104 -1.925 -1.5734E-06
105 -1.9 -1.4169E-06
106 -1.875 -1.2706E-06
107 -1.85 -1.1404E-06
108 -1.825 -1.0217E-06
109 -1.8 -9.1589E-07
110 -1.775 -8.1995E-07
111 -1.75 -7.3028E-07
112 -1.725 -6.5416E-07
113 -1.7 -5.8611E-07
114 -1.675 -5.2179E-07
115 -1.65 -4.6587E-07
116 -1.625 -4.1699E-07
117 -1.6 -3.6953E-07
118 -1.575 -3.3055E-07
119 -1.55 -2.9585E-07
120 -1.525 -2.6174E-07
121 -1.5 -2.3301E-07
122 -1.475 -2.1016E-07
123 -1.45 -1.86E-07
124 -1.425 -1.6451E-07
125 -1.4 -1.4757E-07
126 -1.375 -1.3237E-07
127 -1.35 -1.1593E-07
128 -1.325 -1.0488E-07
129 -1.3 -9.2156E-08
130 -1.275 -8.3152E-08
131 -1.25 -7.5459E-08
132 -1.225 -6.5244E-08
133 -1.2 -5.9068E-08
134 -1.175 -5.385E-08
135 -1.15 -4.6576E-08
136 -1.125 -4.298E-08
137 -1.1 -3.8711E-08
138 -1.075 -3.3031E-08
139 -1.05 -3.1943E-08
140 -1.025 -2.7744E-08
141 -1 -2.3444E-08
142 -0.975 -2.3644E-08
143 -0.95 -1.9485E-08
144 -0.925 -1.6875E-08
145 -0.9 -1.7549E-08
146 -0.875 -1.3312E-08
147 -0.85 -1.2273E-08
148 -0.825 -1.332E-08
149 -0.8 -9.258E-09
150 -0.775 -9.386E-09
151 -0.75 -9.74E-09
152 -0.725 -7.1305E-09
153 -0.7 -6.1057E-09
154 -0.675 -7.0808E-09
155 -0.65 -4.8079E-09
156 -0.625 -4.4215E-09
